id,word,level,pos,chinese,createdAt
1,a/an,1,art.,一個,2025-11-13 03:03:43
2,ant,1,n.,螞蟻,2025-11-13 03:03:43
3,beach,1,n.,海灘,2025-11-13 03:03:43
4,able,1,adj.,能夠的,2025-11-13 03:03:43
5,any,1,det. pron.,任何,2025-11-13 03:03:43
6,bear,1,n. v.,熊、忍受,2025-11-13 03:03:43
7,about,1,prep. adv.,關於,2025-11-13 03:03:43
8,anything,1,pron.,任何事,2025-11-13 03:03:43
9,beat,1,v. n.,打擊、節拍,2025-11-13 03:03:43
10,above,1,prep. adv. adj.,在上方,2025-11-13 03:03:43
11,ape,1,n. v.,猿、模仿,2025-11-13 03:03:43
12,beautiful,1,adj.,美麗的,2025-11-13 03:03:43
13,according to,1,prep.,根據,2025-11-13 03:03:43
14,appear,1,v.,出現,2025-11-13 03:03:43
15,beauty,1,n.,美麗,2025-11-13 03:03:43
16,across,1,prep. adv.,穿過,2025-11-13 03:03:43
17,apple,1,n.,蘋果,2025-11-13 03:03:43
18,because,1,conj.,因為,2025-11-13 03:03:43
19,act,1,v. n.,行動、法案,2025-11-13 03:03:43
20,April/Apr.,1,n.,四月,2025-11-13 03:03:43
21,become,1,v.,變成,2025-11-13 03:03:43
22,action,1,n.,行動,2025-11-13 03:03:43
23,are,1,aux.,是（複數）,2025-11-13 03:03:43
24,bed,1,n.,床,2025-11-13 03:03:43
25,actor/actress,1,n.,演員,2025-11-13 03:03:43
26,area,1,n.,區域,2025-11-13 03:03:43
27,bee,1,n.,蜜蜂,2025-11-13 03:03:43
28,add,1,v.,添加,2025-11-13 03:03:43
29,arm,1,n.,手臂,2025-11-13 03:03:43
30,before,1,prep.,在…之前,2025-11-13 03:03:43
31,address,1,n. v.,地址、演說,2025-11-13 03:03:43
32,army,1,n.,軍隊,2025-11-13 03:03:43
33,begin,1,v.,開始,2025-11-13 03:03:43
34,adult,1,n. adj.,成人、成年的,2025-11-13 03:03:43
35,around,1,adv. prep.,周圍,2025-11-13 03:03:43
36,behind,1,prep. adv.,在…後面,2025-11-13 03:03:43
37,afraid,1,adj.,害怕的,2025-11-13 03:03:43
38,art,1,n.,藝術,2025-11-13 03:03:43
39,believe,1,v.,相信,2025-11-13 03:03:43
40,after,1,prep. conj. adv.,在…之後,2025-11-13 03:03:43
41,as,1,conj. prep. adv.,如同,2025-11-13 03:03:43
42,bell,1,n.,鈴,2025-11-13 03:03:43
43,afternoon,1,n.,下午,2025-11-13 03:03:43
44,ask,1,v.,問,2025-11-13 03:03:43
45,belong,1,v.,屬於,2025-11-13 03:03:43
46,again,1,adv.,再,2025-11-13 03:03:43
47,at,1,prep.,在,2025-11-13 03:03:43
48,below,1,prep. adv.,在…下,2025-11-13 03:03:43
49,against,1,prep.,反對,2025-11-13 03:03:43
50,August/Aug.,1,n.,八月,2025-11-13 03:03:43
51,beside,1,prep.,在旁,2025-11-13 03:03:43
52,age,1,n. v.,年齡,2025-11-13 03:03:43
53,aunt/auntie/aunty,1,n.,姑媽,2025-11-13 03:03:43
54,best,1,adj. adv. n.,最好,2025-11-13 03:03:43
55,ago,1,adv.,以前,2025-11-13 03:03:43
56,autumn/fall,1,n.,秋天,2025-11-13 03:03:43
57,better,1,adj. adv. v.,較好,2025-11-13 03:03:43
58,agree(ment),1,v. n.,同意,2025-11-13 03:03:43
59,away,1,adv.,離開,2025-11-13 03:03:43
60,between,1,prep. adv.,在…之間,2025-11-13 03:03:43
61,ahead,1,adv.,向前,2025-11-13 03:03:43
62,baby,1,n.,嬰兒,2025-11-13 03:03:43
63,bicycle/bike,1,n.,腳踏車,2025-11-13 03:03:43
64,air,1,n.,空氣,2025-11-13 03:03:43
65,back,1,n. adv. adj.,背部、回,2025-11-13 03:03:43
66,big,1,adj.,大的,2025-11-13 03:03:43
67,airmail,1,n.,航空郵件,2025-11-13 03:03:43
68,bad,1,adj.,壞的,2025-11-13 03:03:43
69,bird,1,n.,鳥,2025-11-13 03:03:43
70,airplane/plane,1,n.,飛機,2025-11-13 03:03:43
71,bag,1,n.,袋子,2025-11-13 03:03:43
72,birth,1,n.,出生,2025-11-13 03:03:43
73,airport,1,n.,機場,2025-11-13 03:03:43
74,ball,1,n.,球,2025-11-13 03:03:43
75,bit,1,n.,一點,2025-11-13 03:03:43
76,all,1,det. pron. adv.,全部,2025-11-13 03:03:43
77,balloon,1,n.,氣球,2025-11-13 03:03:43
78,bite,1,v. n.,咬,2025-11-13 03:03:43
79,allow,1,v.,允許,2025-11-13 03:03:43
80,banana,1,n.,香蕉,2025-11-13 03:03:43
81,black,1,adj. n.,黑色、黑色物,2025-11-13 03:03:43
82,almost,1,adv.,幾乎,2025-11-13 03:03:43
83,band,1,n.,樂團、帶,2025-11-13 03:03:43
84,block,1,n. v.,街區、阻擋,2025-11-13 03:03:43
85,alone,1,adj. adv.,單獨,2025-11-13 03:03:43
86,bank,1,n. v.,銀行、存錢,2025-11-13 03:03:43
87,blood,1,n.,血,2025-11-13 03:03:43
88,along,1,prep. adv.,沿著,2025-11-13 03:03:43
89,bar,1,n. v.,酒吧、阻擋,2025-11-13 03:03:43
90,blow,1,v. n.,吹、打擊,2025-11-13 03:03:43
91,already,1,adv.,已經,2025-11-13 03:03:43
92,barber,1,n.,理髮師,2025-11-13 03:03:43
93,blue,1,adj. n.,藍色,2025-11-13 03:03:43
94,also,1,adv.,也,2025-11-13 03:03:43
95,base,1,n. v.,基礎、以…為基,2025-11-13 03:03:43
96,boat,1,n. v.,船、乘船,2025-11-13 03:03:43
97,always,1,adv.,總是,2025-11-13 03:03:43
98,baseball,1,n.,棒球,2025-11-13 03:03:43
99,body,1,n.,身體,2025-11-13 03:03:43
100,am,1,aux.,是（第一人稱）,2025-11-13 03:03:43
101,basic,1,adj.,基本的,2025-11-13 03:03:43
102,bone,1,n.,骨頭,2025-11-13 03:03:43
103,among,1,prep.,在…之中,2025-11-13 03:03:43
104,basket,1,n.,籃子,2025-11-13 03:03:43
105,book,1,n.,書,2025-11-13 03:03:43
106,and,1,conj.,和,2025-11-13 03:03:43
107,basketball,1,n.,籃球,2025-11-13 03:03:43
108,born,1,adj.,出生的,2025-11-13 03:03:43
109,anger,1,n.,憤怒,2025-11-13 03:03:43
110,bat,1,n. v.,球棒、擊打,2025-11-13 03:03:43
111,both,1,det. pron.,兩者,2025-11-13 03:03:43
112,angry,1,adj.,生氣的,2025-11-13 03:03:43
113,bath,1,n.,洗澡,2025-11-13 03:03:43
114,bottom,1,n. adj.,底部、底部的,2025-11-13 03:03:43
115,animal,1,n.,動物,2025-11-13 03:03:43
116,bathe,1,v.,洗澡,2025-11-13 03:03:43
117,bowl,1,n.,碗,2025-11-13 03:03:43
118,another,1,det. pron.,另一個,2025-11-13 03:03:43
119,bathroom,1,n.,浴室,2025-11-13 03:03:43
120,box,1,n. v.,盒子、拳擊,2025-11-13 03:03:43
121,answer,1,n. v.,答案、回答,2025-11-13 03:03:43
122,be,1,v.,是,2025-11-13 03:03:43
123,boy,1,n.,男孩,2025-11-13 03:03:43
124,brave,1,adj.,勇敢,2025-11-13 03:03:43
125,chase,1,v. n.,追逐,2025-11-13 03:03:43
126,cute,1,adj.,可愛,2025-11-13 03:03:43
127,bread,1,n.,麵包,2025-11-13 03:03:43
128,check,1,v. n.,檢查,2025-11-13 03:03:43
129,daddy/dad/papa/pa/pop,1,n.,爸爸,2025-11-13 03:03:43
130,break,1,v. n.,打破、休息,2025-11-13 03:03:43
131,chick,1,n.,小鳥,2025-11-13 03:03:43
132,dance,1,v. n.,跳舞,2025-11-13 03:03:43
133,breakfast,1,n.,早餐,2025-11-13 03:03:43
134,chicken,1,n.,雞肉、雞,2025-11-13 03:03:43
135,dancer,1,n.,舞者,2025-11-13 03:03:43
136,bridge,1,n.,橋,2025-11-13 03:03:43
137,chief,1,n. adj.,首領、主要,2025-11-13 03:03:43
138,danger,1,n.,危險,2025-11-13 03:03:43
139,bright,1,adj.,明亮,2025-11-13 03:03:43
140,child,1,n.,孩子,2025-11-13 03:03:43
141,dark,1,adj.,黑暗的,2025-11-13 03:03:43
142,bring,1,v.,帶來,2025-11-13 03:03:43
143,Christmas/Xmas,1,n.,聖誕節,2025-11-13 03:03:43
144,date,1,n.,日期,2025-11-13 03:03:43
145,brother,1,n.,兄弟,2025-11-13 03:03:43
146,church,1,n.,教堂,2025-11-13 03:03:43
147,daughter,1,n.,女兒,2025-11-13 03:03:43
148,brown,1,adj.,棕色的,2025-11-13 03:03:43
149,city,1,n.,城市,2025-11-13 03:03:43
150,day,1,n.,一天,2025-11-13 03:03:43
151,bug,1,n.,蟲子,2025-11-13 03:03:43
152,class,1,n.,班級,2025-11-13 03:03:43
153,dead,1,adj.,死亡的,2025-11-13 03:03:43
154,build,1,v.,建造,2025-11-13 03:03:43
155,clean,1,adj.,乾淨的,2025-11-13 03:03:43
156,deal,1,v.,處理,2025-11-13 03:03:43
157,building,1,n.,建築物,2025-11-13 03:03:43
158,clear,1,adj.,清楚的,2025-11-13 03:03:43
159,dear,1,adj.,親愛的,2025-11-13 03:03:43
160,bus,1,n.,公車,2025-11-13 03:03:43
161,climb,1,v.,爬,2025-11-13 03:03:43
162,death,1,n.,死亡,2025-11-13 03:03:43
163,busy,1,adj.,忙碌的,2025-11-13 03:03:43
164,clock,1,n.,時鐘,2025-11-13 03:03:43
165,December/Dec.,1,n.,十二月,2025-11-13 03:03:43
166,but,1,conj.,但是,2025-11-13 03:03:43
167,close,1,adj.,接近的,2025-11-13 03:03:43
168,decide,1,v.,決定,2025-11-13 03:03:43
169,butter,1,n.,奶油,2025-11-13 03:03:43
170,cloud,1,n.,雲,2025-11-13 03:03:43
171,deep,1,adj.,深的,2025-11-13 03:03:43
172,butterfly,1,n.,蝴蝶,2025-11-13 03:03:43
173,coast,1,n.,海岸,2025-11-13 03:03:43
174,deer,1,n.,鹿,2025-11-13 03:03:43
175,buy,1,v.,買,2025-11-13 03:03:43
176,coat,1,n.,外套,2025-11-13 03:03:43
177,desk,1,n.,書桌,2025-11-13 03:03:43
178,by,1,prep.,藉由,2025-11-13 03:03:43
179,cocoa,1,n.,可可,2025-11-13 03:03:43
180,die,1,v.,死,2025-11-13 03:03:43
181,cage,1,n.,籠子,2025-11-13 03:03:43
182,coffee,1,n.,咖啡,2025-11-13 03:03:43
183,different,1,adj.,不同的,2025-11-13 03:03:43
184,cake,1,n.,蛋糕,2025-11-13 03:03:43
185,cola/Coke,1,n.,可樂飲料,2025-11-13 03:03:43
186,difficult,1,adj.,困難的,2025-11-13 03:03:43
187,call,1,v.,打電話,2025-11-13 03:03:43
188,cold,1,adj.,寒冷的,2025-11-13 03:03:43
189,dig,1,v.,挖掘,2025-11-13 03:03:43
190,camel,1,n.,駱駝,2025-11-13 03:03:43
191,color,1,n.,顏色,2025-11-13 03:03:43
192,dinner,1,n.,晚餐,2025-11-13 03:03:43
193,camera,1,n.,相機,2025-11-13 03:03:43
194,come,1,v.,來,2025-11-13 03:03:43
195,direct,1,adj.,直接的,2025-11-13 03:03:43
196,camp,1,n.,營地,2025-11-13 03:03:43
197,common,1,adj.,常見的,2025-11-13 03:03:43
198,dirty,1,adj.,骯髒的,2025-11-13 03:03:43
199,can,1,aux.,能夠,2025-11-13 03:03:43
200,continue,1,v.,繼續,2025-11-13 03:03:43
201,discover,1,v.,發現,2025-11-13 03:03:44
202,candy/sweet,1,n.,糖果、甜食,2025-11-13 03:03:44
203,cook,1,v. n.,烹飪、廚師,2025-11-13 03:03:44
204,dish,1,n.,菜餚,2025-11-13 03:03:44
205,cap,1,n. v.,帽子、蓋,2025-11-13 03:03:44
206,cookie/cooky,1,n. adj.,餅乾、古怪的人,2025-11-13 03:03:44
207,do,1,v. aux.,做、助動詞,2025-11-13 03:03:44
208,car,1,n.,汽車,2025-11-13 03:03:44
209,cool,1,adj. v.,涼爽、冷卻,2025-11-13 03:03:44
210,doctor/doc,1,n. v.,醫生、博士,2025-11-13 03:03:44
211,card,1,n.,卡片,2025-11-13 03:03:44
212,corn,1,n.,玉米,2025-11-13 03:03:44
213,dog,1,n. v.,狗、跟蹤,2025-11-13 03:03:44
214,care,1,n. v.,關心、照顧,2025-11-13 03:03:44
215,correct,1,adj. v.,正確、改正,2025-11-13 03:03:44
216,doll,1,n.,洋娃娃,2025-11-13 03:03:44
217,careful,1,adj.,小心的,2025-11-13 03:03:44
218,cost,1,n. v.,成本、花費,2025-11-13 03:03:44
219,dollar/ uck,1,n.,美元、叢集,2025-11-13 03:03:44
220,carry,1,v.,攜帶,2025-11-13 03:03:44
221,count,1,v. n.,數、計數,2025-11-13 03:03:44
222,door,1,n.,門,2025-11-13 03:03:44
223,case,1,n.,情況、箱,2025-11-13 03:03:44
224,country,1,n.,國家,2025-11-13 03:03:44
225,dove,1,n.,鴿子,2025-11-13 03:03:44
226,cat,1,n.,貓,2025-11-13 03:03:44
227,course,1,n.,課程、路線,2025-11-13 03:03:44
228,down,1,adv. prep.,向下,2025-11-13 03:03:44
229,catch,1,v. n.,抓住,2025-11-13 03:03:44
230,cover,1,v. n.,覆蓋,2025-11-13 03:03:44
231,downstairs,1,adv. adj.,樓下,2025-11-13 03:03:44
232,cause,1,n. v.,原因、引起,2025-11-13 03:03:44
233,cow,1,n.,母牛,2025-11-13 03:03:44
234,dozen,1,n.,一打,2025-11-13 03:03:44
235,cent,1,n.,分（貨幣）,2025-11-13 03:03:44
236,cowboy,1,n.,牛仔,2025-11-13 03:03:44
237,draw,1,v. n.,畫、抽取,2025-11-13 03:03:44
238,center,1,n. v.,中心、集中,2025-11-13 03:03:44
239,crow,1,n. v.,烏鴉、啼叫,2025-11-13 03:03:44
240,dream,1,n. v.,夢、夢想,2025-11-13 03:03:44
241,certain,1,adj.,確定的,2025-11-13 03:03:44
242,cry,1,v. n.,哭、叫喊,2025-11-13 03:03:44
243,drink,1,v. n.,喝、飲料,2025-11-13 03:03:44
244,chair,1,n.,椅子,2025-11-13 03:03:44
245,cub,1,n.,幼獸,2025-11-13 03:03:44
246,drive,1,v. n.,開車、駕駛,2025-11-13 03:03:44
247,chance,1,n.,機會,2025-11-13 03:03:44
248,cup,1,n.,杯子,2025-11-13 03:03:44
249,driver,1,n.,司機,2025-11-13 03:03:44
250,chart,1,n. v.,圖表、繪圖,2025-11-13 03:03:44
251,cut,1,v. n. adj.,切割、傷口、削減,2025-11-13 03:03:44
252,dry,1,adj. v.,乾的、弄乾,2025-11-13 03:03:44
253,duck,1,n. v.,鴨子、躲避,2025-11-13 03:03:44
254,farm,1,n. v.,農場、耕作,2025-11-13 03:03:44
255,Friday/Fri.,1,n.,星期五,2025-11-13 03:03:44
256,duckling,1,n.,小鴨,2025-11-13 03:03:44
257,farmer,1,n.,農夫,2025-11-13 03:03:44
258,friend,1,n.,朋友,2025-11-13 03:03:44
259,during,1,prep.,在…期間,2025-11-13 03:03:44
260,fast,1,adj. adv. v.,快的、快速地、禁食,2025-11-13 03:03:44
261,frog,1,n.,青蛙,2025-11-13 03:03:44
262,each,1,adj. pron.,每個,2025-11-13 03:03:44
263,fat,1,adj. n.,胖的、脂肪,2025-11-13 03:03:44
264,from,1,prep.,從,2025-11-13 03:03:44
265,eagle,1,n.,老鷹,2025-11-13 03:03:44
266,father,1,n.,父親,2025-11-13 03:03:44
267,front,1,n. adj. adv.,前面,2025-11-13 03:03:44
268,ear,1,n.,耳朵,2025-11-13 03:03:44
269,fear,1,n. v.,害怕,2025-11-13 03:03:44
270,fruit,1,n.,水果,2025-11-13 03:03:44
271,early,1,adj. adv.,早的,2025-11-13 03:03:44
272,February/Feb.,1,n.,二月,2025-11-13 03:03:44
273,full,1,adj.,滿的,2025-11-13 03:03:44
274,earth,1,n.,地球,2025-11-13 03:03:44
275,feed,1,v.,餵養,2025-11-13 03:03:44
276,fun,1,n. adj.,樂趣,2025-11-13 03:03:44
277,ease,1,n. v.,容易,2025-11-13 03:03:44
278,feel,1,v.,感覺,2025-11-13 03:03:44
279,funny,1,adj.,好笑的,2025-11-13 03:03:44
280,east,1,n. adj. adv.,東方,2025-11-13 03:03:44
281,feeling,1,n.,感覺,2025-11-13 03:03:44
